"u_audit_state","u_error_description","u_instance_name","u_audit_payload"
"Failed","Unable to execute audit against the instance due to  SNC access control plug in is active.","aaaiesandbox",""
"Failed","Unable to execute audit against the instance due to  SNC access control plug in is active.","aaaietest",""
"Completed","","aaaietest2","*** Script: {""installed"":false,""companyCode"":""aaan2""}
"
"Failed","Unable to execute audit against the instance due to  SNC access control plug in is active.","aaaietrain",""
"Completed","","aaalifedev","*** Script: {""installed"":false,""companyCode"":""aaal2""}
"
"Completed","","aaalifeprod","*** Script: {""installed"":false,""companyCode"":""aaal2""}
"
"Completed","","aaalifetest","*** Script: {""installed"":false,""companyCode"":""aaal2""}
"
"Completed","","aaamwg","*** Script: {""installed"":false,""companyCode"":""hcla2""}
"
"Completed","","aaamwgdev","*** Script: {""installed"":false,""companyCode"":""hcla2""}
"
"Completed","","aaamwgqa","*** Script: {""installed"":false,""companyCode"":""hcla2""}
"
"Completed","","aaaqa","*** Script: {""installed"":false,""companyCode"":""aaam2""}
"
"Completed","","aaasd","*** Script: {""installed"":false,""companyCode"":""nhsa2""}
"
"Completed","","aaasdnonprod","*** Script: {""installed"":false,""companyCode"":""nhsa2""}
"
"Retry","Unable to execute audit against the instance due to either no active app nodes or instance state is not operational. ","aabsiamdemo",""
"Failed","Unable to execute audit against the instance due to either no active app nodes or instance state is not operational. ","aabsiamdemo",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aabsiamdev",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aabsiamet",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aabsiampr",""
"Failed","Unable to execute audit against the instance due to  SNC access control plug in is active.","aabsiamsb",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aabsiamst",""
"Completed","","aac","*** Script: {""installed"":false,""companyCode"":""aaca""}
"
"Completed","","aacb","*** Script: {""installed"":false,""companyCode"":""gabna""}
"
"Completed","","aacbdev","*** Script: {""installed"":false,""companyCode"":""gabna""}
"
"Completed","","aacbqa","*** Script: {""installed"":false,""companyCode"":""gabna""}
"
"Completed","","aacbuat","*** Script: {""installed"":false,""companyCode"":""gabna""}
"
"Completed","","aacdev","*** Script: {""installed"":false,""companyCode"":""aaca""}
"
"Completed","","aacr","*** Script: {""installed"":false,""companyCode"":""aafcr""}
"
"Completed","","aacrdev1","*** Script: {""installed"":false,""companyCode"":""aafcr""}
"
"Completed","","aaesqapdev","*** Script: {""installed"":false,""companyCode"":""aaesa""}
"
"Completed","","aaesqapprod","*** Script: {""installed"":false,""companyCode"":""aaesa""}
"
"Completed","","aaesqaptest","*** Script: {""installed"":false,""companyCode"":""aaesa""}
"
"Completed","","aafes","*** Script: {""installed"":false,""companyCode"":""aafes""}
"
"Completed","","aafesdev","*** Script: {""installed"":false,""companyCode"":""aafes""}
"
"Completed","","aafestest","*** Script: {""installed"":false,""companyCode"":""aafes""}
"
"Completed","","aagdev","*** Script: {""installed"":false,""companyCode"":""aagf""}
"
"Completed","","aagprod","*** Script: {""installed"":false,""companyCode"":""aagf""}
"
"Completed","","aak","*** Script: {""installed"":false,""companyCode"":""aaksa""}
"
"Completed","","aakdev","*** Script: {""installed"":false,""companyCode"":""aaksa""}
"
"Completed","","aamdev","*** Script: {""installed"":false,""companyCode"":""aam""}
"
"Completed","","aamprod","*** Script: {""installed"":false,""companyCode"":""aam""}
"
"Completed","","aamtest","*** Script: {""installed"":false,""companyCode"":""aam""}
"
"Completed","","aapdev","*** Script: {""installed"":false,""companyCode"":""aapl""}
"
"Completed","","aaq","*** Script: {""installed"":false,""companyCode"":""aaq""}
"
"Completed","","aaqtest","*** Script: {""installed"":false,""companyCode"":""aaq""}
"
"Completed","","aarhuskommune","*** Script: {""installed"":false,""companyCode"":""rk""}
"
"Completed","","aarhuskommunedev","*** Script: {""installed"":false,""companyCode"":""rk""}
"
"Completed","","aarhuskommunesandbox","*** Script: {""installed"":false,""companyCode"":""rk""}
"
"Completed","","aarhuskommunetest","*** Script: {""installed"":false,""companyCode"":""rk""}
"
"Completed","","aarhusvand","*** Script: {""installed"":false,""companyCode"":""avas""}
"
"Completed","","aarhusvandtest","*** Script: {""installed"":false,""companyCode"":""avas""}
"
"Completed","","aarons","*** Script: {""installed"":false,""companyCode"":""aaro2""}
"
"Completed","","aaronsdev","*** Script: {""installed"":true,""companyCode"":""aaro2"",""appArtifacts"":{""db_image"":{""totalCount"":2,""apps"":1},""m2m_app_config_theme"":{""totalCount"":1,""apps"":1},""sys_declarative_action_assignment"":{""totalCount"":2,""apps"":1},""sys_declarative_action_payload_definition"":{""totalCount"":2,""apps"":1},""sys_declarative_action_payload_field"":{""totalCount"":4,""apps"":1},""sys_declarative_action_payload_mapping"":{""totalCount"":2,""apps"":1},""sys_documentation"":{""totalCount"":4,""apps"":1},""sys_scope_privilege"":{""totalCount"":7,""apps"":1},""sys_security_acl"":{""totalCount"":18,""apps"":1},""sys_security_acl_role"":{""totalCount"":18,""apps"":1},""sys_uib_screen_test_values"":{""totalCount"":17,""apps"":1},""sys_uib_template"":{""totalCount"":3,""apps"":1},""sys_ui_section"":{""totalCount"":2,""apps"":1},""sys_ui_view"":{""totalCount"":2,""apps"":1},""sys_ux_addon_event_mapping"":{""totalCount"":6,""apps"":1},""sys_ux_applicability"":{""totalCount"":1,""apps"":1},""sys_ux_applicability_m2m_screen"":{""totalCount"":1,""apps"":1},""sys_ux_app_config"":{""totalCount"":1,""apps"":1},""sys_ux_app_route"":{""totalCount"":21,""apps"":1},""sys_ux_client_script"":{""totalCount"":37,""apps"":1},""sys_ux_composite_data"":{""totalCount"":4,""apps"":1},""sys_ux_composite_datasource"":{""totalCount"":8,""apps"":1},""sys_ux_composite_data_m2m_datasource"":{""totalCount"":6,""apps"":1},""sys_ux_composite_data_m2m_predicate_bundle"":{""totalCount"":6,""apps"":1},""sys_ux_composite_data_template"":{""totalCount"":8,""apps"":1},""sys_ux_composite_data_template_predicate"":{""totalCount"":11,""apps"":1},""sys_ux_composite_data_template_predicate_bundle"":{""totalCount"":8,""apps"":1},""sys_ux_data_broker_composite"":{""totalCount"":1,""apps"":1},""sys_ux_data_broker_graphql"":{""totalCount"":1,""apps"":1},""sys_ux_data_broker_transform"":{""totalCount"":17,""apps"":1},""sys_ux_event"":{""totalCount"":26,""apps"":1},""sys_ux_macroponent"":{""totalCount"":24,""apps"":1},""sys_ux_page_property"":{""totalCount"":9,""apps"":1},""sys_ux_page_registry"":{""totalCount"":1,""apps"":1},""sys_ux_predicate_m2m_action_assignment"":{""totalCount"":10,""apps"":1},""sys_ux_screen"":{""totalCount"":21,""apps"":1},""sys_ux_screen_type"":{""totalCount"":21,""apps"":1},""sys_ux_theme"":{""totalCount"":1,""apps"":1},""sys_ux_theme_asset"":{""totalCount"":1,""apps"":1},""sys_ux_theme_m2m_asset"":{""totalCount"":1,""apps"":1}}}
"
"Completed","","aaronstest","*** Script: {""installed"":true,""companyCode"":""aaro2""}
"
"Completed","","aarpdevelopment","*** Script: {""installed"":false,""companyCode"":""aarp""}
"
"Completed","","aarptesting","*** Script: {""installed"":false,""companyCode"":""aarp""}
"
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aat",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aatdev",""
"Failed","Unable to execute audit against the instance due to SNC access control plug in is active.","aattest",""
"Completed","","abaco","*** Script: {""installed"":false,""companyCode"":""absyi""}
"
"Completed","","abacodev","*** Script: {""installed"":false,""companyCode"":""absyi""}
"
"Completed","","abacustech","*** Script: {""installed"":false,""companyCode"":""abtr""}
"
"Completed","","abacustechdev","*** Script: {""installed"":false,""companyCode"":""abtr""}
"
"Completed","","abagrinonprod1","*** Script: {""installed"":false,""companyCode"":""abag""}
"
"Completed","","abagrinonprod2","*** Script: {""installed"":false,""companyCode"":""abag""}
"
"Completed","","abagriprod","*** Script: {""installed"":false,""companyCode"":""abag""}
"
"Completed","","abb","*** Script: {""installed"":false,""companyCode"":""abb2""}
"
"Failed","Unable to execute audit against the instance due to either no active app nodes or instance state is not operational. ","abb1",""
